NUM_CODE;PRODUCT_CODE;PRODUCT_NAME;PRODUCT_COLOR;BRAND;TYPE
381;87469827;Decker;Blue;B4044;T243
382;17751429;Holt;Blue;B3582;T354
383;27635777;Jackson;Purple;B2789;T264
384;08515079;Shetler;Green;B5221;T288
385;12751799;Smith;Blue;B3511;T107
386;64084311;Miller;Blue;B3677;T212
387;74536735;Caywood;Purple;B4625;T338
388;61281449;Marks;Silver;B2756;T214
389;79672991;Caffey;Silver;B3769;T222
390;85925928;Hoots;Green;B5095;T234
391;48679051;Smith;Blue;B3914;T249
392;24784945;Woods;Blue;B3819;T218
393;48944316;Thompson;Green;B4405;T293
394;01112922;Peterson;Black;B3975;T190
395;88930439;Noel;Red;B4627;T294
396;79210290;Lawrence;Blue;B3207;T185
397;79493135;Lopez;Blue;B4889;T345
398;17053516;Hammonds;Blue;B1888;T139
399;87755489;Ledger;Blue;B2413;T303
400;24313820;Brisco;Blue;B3828;T316
401;50875664;Burns;Purple;B3784;T275
402;31784569;Casey;Black;B3822;T293
403;80307972;Fenn;Black;B3190;T173
404;60410506;Ruiz;Blue;B5569;T267
405;91390303;McCoy;Orange;B2606;T338
406;85538309;Palacios;Blue;B3227;T253
407;39326391;Nestor;Blue;B4580;T121
408;24698165;Davis;Blue;B3565;T376
409;74961830;Coffman;Green;B2404;T325
410;64514441;Swisher;Blue;B4869;T218
411;84834027;Eastwood;Green;B4399;T237
412;78755080;Becker;Black;B3084;T293
413;82155612;Benjamin;Purple;B6006;T266
414;01763596;Cannon;Blue;B5632;T291
415;92433539;Carrico;Blue;B4859;T350
416;53250137;Jordan;Blue;B4570;T279
417;43520379;Arndt;Blue;B4970;T237
418;35916685;Brown;Green;B5072;T292
419;78573262;Dukes;Green;B3435;T227
420;19810360;Prendergast;Silver;B3561;T032
421;31159583;Anderson;Purple;B5253;T139
422;92980909;Lamere;Blue;B4735;T287
423;98172134;Long;Blue;B2742;T168
424;07721209;Prather;Purple;B5701;T333
425;01324622;Loving;Blue;B3834;T241
426;91976246;Vazquez;Blue;B3411;T180
427;60546179;Hillard;Red;B3810;T287
428;83323266;Ryan;Blue;B2967;T316
429;79808034;Huston;Red;B4032;T275
430;50944069;Rodriguez;Green;B3584;T313
431;73397728;Brown;Blue;B4678;T205
432;88405886;Faircloth;Blue;B5244;T249
433;26589813;Franz;Blue;B2198;T313
434;09265897;Armstrong;Black;B3755;T287
435;32224435;Cummings;Blue;B4703;T322
436;34580473;Ho;Yellow;B4181;T203
437;99517615;Hensley;Blue;B3799;T181
438;46852892;Parker;Blue;B4987;T260
439;10132398;Medina;Blue;B2924;T249
440;11942944;Garcia;Blue;B5382;T308
441;26608912;Light;Orange;B3499;T300
442;50595786;Durgan;Blue;B3094;T184
443;95931106;Beaton;Blue;B4352;T323
444;47214342;Young;Purple;B4831;T285
445;95781953;Scott;Green;B3287;T291
446;62590941;Joiner;Orange;B4430;T248
447;47819662;Gross;Blue;B4239;T283
448;55701422;Spruell;Blue;B3980;T331
449;35682200;Lewis;Green;B3244;T253
450;91980429;Duffy;Blue;B4427;T307
451;18044396;Krueger;Blue;B3483;T231
452;99838359;Page;Green;B3648;T314
453;91849073;Harris;Green;B5065;T334
454;49517589;McNeal;Green;B3852;T222
455;91752301;Knuth;Blue;B2920;T318
456;07262712;Seltzer;Green;B4841;T284
457;44927035;Greenberg;Orange;B4289;T203
458;93207980;Stokes;Blue;B4443;T351
459;30526236;Allen;Green;B2990;T092
460;00270572;Dayton;Orange;B4202;T227
461;38461217;Taylor;Blue;B4528;T262
462;69313660;Sweeney;Purple;B4759;T172
463;69720581;Edge;Blue;B4029;T332
464;67959780;Greene;Green;B2201;T274
465;78770030;Vance;Green;B5692;T190
466;78821533;Keith;White;B3881;T263
467;07101347;McCrory;Green;B3280;T232
468;23398429;Russell;Blue;B4171;T161
469;05642719;Greer;Silver;B5598;T238
470;43191381;Edington;Blue;B3629;T341
471;12893015;Martinez;Blue;B4390;T334
472;89343001;Spurlock;Purple;B3837;T320
473;28585811;Fuller;Orange;B3323;T129
474;39723764;Castro;Blue;B4197;T346
475;41825181;Fleming;Purple;B3971;T328
476;14789051;Archer;Purple;B3722;T139
477;77270955;Delacruz;Blue;B3073;T170
478;50708829;Barnhill;Blue;B3647;T233
479;10279419;Wheatley;Blue;B5392;T249
480;80505691;Uribe;Blue;B4852;T292
481;55377741;Sanderson;Green;B2937;T272
482;50432335;Gee;White;B3840;T232
483;01208836;Shaner;Orange;B3331;T219
484;49983048;Gardner;Blue;B3469;T207
485;16893947;Evans;Purple;B2643;T268
486;78965940;Walter;Blue;B4140;T326
487;10615063;Shelton;Green;B3155;T310
488;53816120;Berry;Blue;B3361;T207
489;79174224;Winslow;Green;B4618;T301
490;39884955;Deans;Blue;B4568;T112
491;00724462;Martinez;Green;B3555;T332
492;56157640;Ferguson;Yellow;B3119;T182
493;74996039;Chapman;Blue;B3671;T307
494;10549585;Callison;Purple;B4920;T284
495;90327705;Rooney;Blue;B2678;T260
496;44747137;Weldon;Blue;B3003;T297
497;93162409;Shank;Blue;B4344;T242
498;99993930;Bailey;Blue;B4772;T279
499;79242645;Hooten;Orange;B4015;T286
500;27968381;Sullivan;Blue;B4621;T267
501;38856929;Morrison;Blue;B2958;T157
502;94243429;Peoples;Blue;B3119;T263
503;53788943;Cox;Blue;B3126;T173
504;43309054;Wells;Orange;B2270;T261
505;28084899;Spears;Black;B3070;T209
506;17777760;Bellanger;Purple;B2619;T314
507;26604961;Blue;Blue;B2921;T233
508;53974153;Salgado;Blue;B5355;T242
509;21994359;Pounds;Purple;B2476;T253
510;66928365;Mullen;Black;B4828;T277
511;75665604;Benedetto;Green;B5172;T318
512;44005651;Adams;Blue;B2999;T243
513;41855021;Atwood;Red;B4171;T275
514;65265817;Thomas;Brown;B4706;T295
515;68288235;West;Purple;B4403;T196
516;55621911;Williams;Black;B4715;T356
517;61828504;Olson;Black;B3826;T247
518;84242314;Sotomayor;Orange;B2587;T256
519;76007810;Parker;Green;B3424;T236
520;25087883;Murphy;Green;B2773;T319
521;60073012;Sealy;Blue;B4314;T208
522;46175587;Anderson;Green;B3037;T243
523;57020471;Kline;Blue;B5073;T359
524;82005531;Gaillard;Blue;B2442;T277
525;39404918;Anderson;Black;B4426;T223
526;09093523;Gold;Blue;B3765;T191
527;24028467;Maley;Green;B3694;T290
528;44719256;Miller;Black;B3883;T317
529;20609157;Guzman;Blue;B3300;T190
530;61955000;Scott;Blue;B3040;T227
531;20993364;Ruf;Orange;B4589;T248
532;86814317;Taylor;Blue;B5355;T299
533;15778683;Ramos;Red;B3364;T324
534;88298054;Wilson;Black;B4126;T178
535;93312065;Jude;Blue;B2544;T206
536;76893994;Peachey;Blue;B4077;T216
537;66639115;Wiley;Blue;B2530;T211
538;47869399;Bourque;Blue;B4937;T239
539;73943524;Pinter;Blue;B2685;T231
540;08635506;Nelson;Blue;B4248;T265
541;67774816;Clark;Purple;B1879;T217
542;17789169;Pearson;Blue;B4000;T313
543;68773733;Bates;Purple;B3308;T339
544;11333853;Nagao;Brown;B5757;T312
545;98373710;Fontenot;Purple;B3976;T323
546;67598673;King;Purple;B5738;T313
547;99792388;Howard;Blue;B3062;T187
548;06419886;Maday;Orange;B3159;T334
549;47842952;Cannon;Purple;B4252;T359
550;16784082;Williamson;Blue;B2853;T269
551;46147305;Sturgis;Blue;B3265;T315
552;82977526;Ashley;Blue;B5591;T172
553;05358188;Conner;Black;B5483;T226
554;00237281;Sharkey;Blue;B5030;T184
555;58078809;Keiser;Blue;B4641;T228
556;60947874;Adger;Blue;B4018;T234
557;73427359;Lindholm;Blue;B3969;T253
558;24140938;Rose;Blue;B3582;T248
559;46087539;Killgore;Black;B4561;T190
560;49470170;Dillingham;Purple;B5448;T336
561;07048625;Hernandez;Purple;B5245;T327
562;33848173;Baptiste;Blue;B5383;T224
563;23012682;Lawrence;Blue;B3146;T243
564;43766647;Johnson;Green;B3446;T156
565;53390815;Ayres;Purple;B4289;T213
566;06038290;Smith;Blue;B3719;T221
567;14416664;Lees;Blue;B3119;T230
568;66744101;Mahon;Blue;B4696;T239
569;06659487;Baker;Yellow;B3005;T266
570;96867932;Mae;Blue;B2444;T222
571;19279236;Dietz;Blue;B4571;T370
572;34225292;Fuller;Blue;B2441;T208
573;32323504;Lute;Blue;B3155;T369
574;60395653;Vanmeter;Red;B4583;T354
575;38741149;Hutchings;Orange;B4986;T300
576;47254814;Marquez;Blue;B4254;T217
577;32663452;Gomer;Green;B6343;T232
578;21641600;Schmidt;Orange;B3580;T321
579;88841291;Morgan;Orange;B3239;T196
580;21767909;Diaz;Purple;B3491;T196
581;73357549;Ritchey;Red;B4490;T186
582;80261640;Williams;Blue;B4134;T216
583;70551109;Diaz;Blue;B3654;T285
584;90042411;Gatson;Blue;B4505;T295
585;27658456;Craddock;Green;B1486;T234
586;54819811;Garcia;Purple;B5342;T253
587;87815543;Nichols;Blue;B2372;T181
588;15178472;Simmons;Blue;B3639;T311
589;79284285;Roberts;Blue;B4544;T272
590;15183650;Stacy;Silver;B4181;T311
591;38126653;Holding;Blue;B3070;T272
592;99012596;James;Blue;B3878;T259
593;61555669;Carrier;Purple;B4608;T258
594;69730954;Gonzales;Black;B3835;T183
595;06652309;Davis;Yellow;B4341;T285
596;27022801;Gentry;Silver;B4621;T264
597;99729706;Mitchell;Orange;B4578;T208
598;22027526;Baker;Blue;B4899;T313
599;00536405;Witter;Blue;B4419;T219
600;16424463;Weiss;Orange;B4671;T190
601;12179925;Lane;Blue;B3911;T275
602;54580167;Rushton;Purple;B5268;T339
603;17600676;Parrish;Blue;B4997;T325
604;82236239;Holmes;Blue;B4486;T195
605;91365211;Floyd;Purple;B4251;T193
606;96088934;Pinto;Blue;B2367;T205
607;27118534;Zeigler;Blue;B2893;T367
608;92112654;Owens;Blue;B3350;T268
609;73957712;Parker;Yellow;B5347;T191
610;11880665;Stein;Green;B3440;T261
611;27677403;Klatt;White;B5042;T185
612;57954726;Boling;Green;B3795;T230
613;58700572;Reese;Blue;B4950;T363
614;78309168;Hayes;Brown;B4740;T221
615;30531087;Tucker;Blue;B2968;T252
616;23411477;Caldwell;Blue;B4072;T213
617;37601198;Covington;Blue;B5534;T305
618;90454321;Rowe;Green;B4989;T251
619;42910720;Unknow;Blue;B3007;T239
620;93159206;Buckley;Blue;B3751;T105
621;47177015;Drayton;Silver;B3825;T267
622;23066233;Zehnder;Green;B5156;T186
623;36372719;Garcia;Blue;B4565;T385
624;89991537;Beattie;Blue;B3761;T265
625;18354636;Parrish;Green;B4899;T251
626;39284545;White;Green;B3595;T236
627;62045145;Simas;Blue;B3054;T207
628;70831594;Moore;Purple;B5551;T240
629;30216689;Adams;Black;B4472;T155
630;70188389;Diamond;Green;B4077;T261
631;45015075;Carlson;Black;B6042;T253
632;63071213;Blum;Blue;B3412;T319
633;59688305;Roseberry;Black;B3804;T380
