product_name,category_name,category_code,subcategory_name,subcategory_code
Головка ротора,Детали и запчасти,00000000804,к вертолетам,00000000805
Двигатель хвостовой,Детали и запчасти,00000000804,к вертолетам,00000000805
Лыжи,Детали и запчасти,00000000804,к вертолетам,00000000805
Оперение хвостовое вертикальное,Детали и запчасти,00000000804,к вертолетам,00000000805
Балка хвостовая,Детали и запчасти,00000000804,к вертолетам,00000000805
V955,Товары,00000000270,Детали и запчасти,00000000804
Рама основная,Детали и запчасти,00000000804,к вертолетам,00000000805
Лыжи,Детали и запчасти,00000000804,к вертолетам,00000000805
Лопасти (2 шт.),Детали и запчасти,00000000804,к вертолетам,00000000805
Автомат перекоса,Детали и запчасти,00000000804,к вертолетам,00000000805
Держатели лопастей (2шт.),Детали и запчасти,00000000804,к вертолетам,00000000805
Головка ротора,Детали и запчасти,00000000804,к вертолетам,00000000805
Тяги (4шт.),Детали и запчасти,00000000804,к вертолетам,00000000805
Тяги серво (2шт.),Детали и запчасти,00000000804,к вертолетам,00000000805
Шестерня основная (2шт.),Детали и запчасти,00000000804,к вертолетам,00000000805
Держатель хвостового мотора (2шт.),Детали и запчасти,00000000804,к вертолетам,00000000805
Винт хвостовой (2шт.),Детали и запчасти,00000000804,к вертолетам,00000000805
Прокладки кабины (4шт.),Детали и запчасти,00000000804,к вертолетам,00000000805
Кабина,Детали и запчасти,00000000804,к вертолетам,00000000805
Балка хвостовая (2шт.),Детали и запчасти,00000000804,к вертолетам,00000000805
Вал основной (2шт.),Детали и запчасти,00000000804,к вертолетам,00000000805
Подшипник 8х5х2 (2шт.),Детали и запчасти,00000000804,к вертолетам,00000000805
"Подшипник 6х2,6х2,5 (2шт.)",Детали и запчасти,00000000804,к вертолетам,00000000805
"Подшипник 4х1,5х1,2 (4шт.)",Детали и запчасти,00000000804,к вертолетам,00000000805
Винты (набор),Детали и запчасти,00000000804,к вертолетам,00000000805
Двигатель основной,Детали и запчасти,00000000804,к вертолетам,00000000805
Двигатель хвостовой,Детали и запчасти,00000000804,к вертолетам,00000000805
"Аккумулятор Li-po 03,7V 0180mah 15C Micro-heli ",Товары,00000000270,Аксессуары и комплектующие,00000000481
V242/252,Товары,00000000270,Детали и запчасти,00000000804
Кабина,Детали и запчасти,00000000804,к мультикоптерам,00000001802
Кабина,Детали и запчасти,00000000804,к мультикоптерам,00000001802
Пропеллер (4шт.),Детали и запчасти,00000000804,к мультикоптерам,00000001802
Корпус квадрокоптера,Детали и запчасти,00000000804,к мультикоптерам,00000001802
Корпус квадрокоптера,Детали и запчасти,00000000804,к мультикоптерам,00000001802
Наконечники корпуса (4шт.),Детали и запчасти,00000000804,к мультикоптерам,00000001802
Дуга защитная,Детали и запчасти,00000000804,к мультикоптерам,00000001802
Провод,Детали и запчасти,00000000804,к мультикоптерам,00000001802
Плата,Детали и запчасти,00000000804,к мультикоптерам,00000001802
Двигатель,Детали и запчасти,00000000804,к мультикоптерам,00000001802
Зарядное устройство,Детали и запчасти,00000000804,к мультикоптерам,00000001802
V262,Товары,00000000270,Детали и запчасти,00000000804
Кабина,Детали и запчасти,00000000804,к мультикоптерам,00000001802
Пропеллер (4шт.),Детали и запчасти,00000000804,к мультикоптерам,00000001802
Держатель мотора/салазки,Детали и запчасти,00000000804,к мультикоптерам,00000001802
Шестерня,Детали и запчасти,00000000804,к мультикоптерам,00000001802
Рама ,Детали и запчасти,00000000804,к мультикоптерам,00000001802
Защитная дуга корпуса,Детали и запчасти,00000000804,к мультикоптерам,00000001802
Держатель аккумулятора,Детали и запчасти,00000000804,к мультикоптерам,00000001802
Элемент крепления светодиода,Детали и запчасти,00000000804,к мультикоптерам,00000001802
Элемент крепления,Детали и запчасти,00000000804,к мультикоптерам,00000001802
Элемент крепления защитной дуги,Детали и запчасти,00000000804,к мультикоптерам,00000001802
Втулка,Детали и запчасти,00000000804,к мультикоптерам,00000001802
Плата,Детали и запчасти,00000000804,к мультикоптерам,00000001802
Вал,Детали и запчасти,00000000804,к мультикоптерам,00000001802
Фиксатор вала шестерни,Детали и запчасти,00000000804,к мультикоптерам,00000001802
Двигатель,Детали и запчасти,00000000804,к мультикоптерам,00000001802
Балка,Детали и запчасти,00000000804,к мультикоптерам,00000001802
Головка ротора,Детали и запчасти,00000000804,к вертолетам,00000000805
G-Maxtec                                                        ,,,Товары,00000000270
Плата G-Maxtec GM1519-1529 ,Детали и запчасти,00000000804,к танкам,00000001503
Держатель ступицы С-хаб (пара),Детали и запчасти,00000000804,к автомоделям,00000001131
Крепление двигателя (моторама),Детали и запчасти,00000000804,к автомоделям,00000001131
Стойка корпуса (задняя) (пара),Детали и запчасти,00000000804,к автомоделям,00000001131
Стойка корпуса (передняя),Детали и запчасти,00000000804,к автомоделям,00000001131
Ступица задняя (2шт.),Детали и запчасти,00000000804,к автомоделям,00000001131
Ось колеса (пара),Детали и запчасти,00000000804,к автомоделям,00000001131
Карданы CVD (пара),Детали и запчасти,00000000804,к автомоделям,00000001131
"Полуоси 89,5мм (пара)",Детали и запчасти,00000000804,к автомоделям,00000001131
Корпус,Детали и запчасти,00000000804,к автомоделям,00000001131
1/08,Товары,00000000270,Детали и запчасти,00000000804
Колесо в сборе 1/08 монстр (пара) HSP ,,,Товары,00000000270
Стойка амортизаторов (бабочка) передняя (карбон) (8240),Детали и запчасти,00000000804,к автомоделям,00000001131
Стойка амортизаторов (бабочка) задняя (карбон) (8241),Детали и запчасти,00000000804,к автомоделям,00000001131
Пластина передняя карбоновая (8242),Детали и запчасти,00000000804,к автомоделям,00000001131
Карданы центральные (8229),Детали и запчасти,00000000804,к автомоделям,00000001131
Шпильки рычагов и С-хабов (6шт.),Детали и запчасти,00000000804,к автомоделям,00000001131
Колесо в сборе 1/16 багги (пара) ZD,,,Товары,00000000270
Двигатель коллекторный RC380 2838 ZD Racing,Товары,00000000270,Аксессуары и комплектующие,00000000481
"Аккумулятор Ni-Mh 07,2V 1200mah 15C T-Dean",Товары,00000000270,Аксессуары и комплектующие,00000000481
Регулятор скорости К 030A ZD Racing T-dean ,Товары,00000000270,Аксессуары и комплектующие,00000000481
Резина с вставками 1/16 монстр (пара) ZD,,,Товары,00000000270
Антикрыло,Детали и запчасти,00000000804,к автомоделям,00000001131
Держатели рычагов передних алюминий (6263),Детали и запчасти,00000000804,к автомоделям,00000001131
Ступица передняя (алюминий) (пара),Детали и запчасти,00000000804,к автомоделям,00000001131
Шестигранник (хекс) колеса (8шт.) (6043),Детали и запчасти,00000000804,к автомоделям,00000001131
Радиобокс,Детали и запчасти,00000000804,к автомоделям,00000001131
"яСервопривод mini 02,2кг/0,11сек/6V/metall/ZD",,,Товары,00000000270
Колесо в сборе 1/16 багги (пара) ZD,,,Товары,00000000270
Рычаг сервопривода (6 шт.) (6049),Детали и запчасти,00000000804,к автомоделям,00000001131
"Штифт(пин) 1,5х08 мм (10шт.)",Товары,00000000270,Аксессуары и комплектующие,00000000481
Кольцо стопорное E-ring 2.5x0.4T (6063),Товары,00000000270,Аксессуары и комплектующие,00000000481
Стойка антикрыла (6095) ,Детали и запчасти,00000000804,к автомоделям,00000001131
Бампер передний/задний для багги (6328),Детали и запчасти,00000000804,к автомоделям,00000001131
Стойка корпуса передняя/задняя (6097) ,Детали и запчасти,00000000804,к автомоделям,00000001131
Рычаги передние нижние (пара),Детали и запчасти,00000000804,к автомоделям,00000001131
Рычаги задние нижние (пара),Детали и запчасти,00000000804,к автомоделям,00000001131
Карданы передние CVD (багги) (пара),Детали и запчасти,00000000804,к автомоделям,00000001131
Полуоси задние (пара),Детали и запчасти,00000000804,к автомоделям,00000001131
Тяги передние верхние (3 пары) (багги),Детали и запчасти,00000000804,к автомоделям,00000001131
Тяги задние верхние (3 пары) (багги),Детали и запчасти,00000000804,к автомоделям,00000001131
Крепление антикрыла,Детали и запчасти,00000000804,к автомоделям,00000001131
Шестерня ведущая(пиньон) 24Т/3.175mm ZD Racing,Товары,00000000270,Аксессуары и комплектующие,00000000481
Тяги рулевые (2 пары) (багги),Детали и запчасти,00000000804,к автомоделям,00000001131
Амортизаторы передние (пара),Детали и запчасти,00000000804,к автомоделям,00000001131
Амортизаторы задние (пара),Детали и запчасти,00000000804,к автомоделям,00000001131
Корпус багги,Детали и запчасти,00000000804,к автомоделям,00000001131
Антикрыло,Детали и запчасти,00000000804,к автомоделям,00000001131
Амортизаторы передние (пара),Детали и запчасти,00000000804,к автомоделям,00000001131
Колесо в сборе 1/10 багги переднее (пара) ZD ,,,Товары,00000000270
Колесо в сборе 1/10 багги заднее (пара) ZD ,,,Товары,00000000270
Держатели рычагов передних (металл),Детали и запчасти,00000000804,к автомоделям,00000001131
Кардан задний (1 шт),Детали и запчасти,00000000804,к автомоделям,00000001131
Качалки (пластиковая версия),Детали и запчасти,00000000804,к вертолетам,00000000805
Пластина корпуса вертолета правая,Детали и запчасти,00000000804,к вертолетам,00000000805
Пластина корпуса вертолета (левая),Детали и запчасти,00000000804,к вертолетам,00000000805
Ползунок хвостового ротора в сборе,Детали и запчасти,00000000804,к вертолетам,00000000805
Диск 1/08 багги сплошной жёлтый Anderson Racing,,,Товары,00000000270
Резина 1/08 багги крупный шип Anderson Racing,,,Товары,00000000270
Резина 1/08 багги средний шип Anderson Racing,,,Товары,00000000270
я Покрышки с вставкой мелкий шип ,,,Товары,00000000270
Вставки колесные 1/08 багги паралоновые (пара) Anderson Racing,,,Товары,00000000270
